"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"3267","Shen","TOP","Strong",67.33,2.85,53.06,83.92,3.74,0.82,2.86,12.9
"3268","Shen","SUPPORT","Weak",36.73,4.02,48.77,11.93,0.47,0.81,2.72,12.9
"3269","Shyvana","JUNGLE","Good",50.26,-0.38,52.43,88.18,3.2,1.33,2.71,12.9
"3270","Shyvana","TOP","Weak",34.92,0,50.79,10.07,0.37,1.46,1.99,12.9
"3271","Singed","MID","Good",48.04,-2.65,53.68,15.26,0.35,0.42,2.63,12.9
"3272","Singed","TOP","Fair",44.46,2.42,51.55,72.94,1.77,0.48,1.91,12.9
"3273","Sion","TOP","Good",52.96,-16.92,49.61,80.76,4.46,3.12,1.41,12.9
"3274","Sivir","ADC","Fair",40.29,-5.2,50.54,95.01,3.54,0.81,2.39,12.9
"3275","Skarner","TOP","Weak",38.5,6.27,51.92,23.92,0.18,0.14,2.26,12.9
"3276","Skarner","JUNGLE","Weak",36.74,1.11,51.44,72.65,0.58,0.14,2.76,12.9
"3277","Sona","SUPPORT","Good",55.7,3.97,53.46,97.26,3.54,0.44,2.86,12.9
"3278","Soraka","SUPPORT","Strong",63.52,-1.3,52.08,93.97,6.77,5.81,2.72,12.9
"3279","Swain","ADC","Good",51.43,6.69,56.79,17.12,1.49,6.46,2.93,12.9
"3280","Swain","MID","Good",51.21,-5.18,52.21,22.86,2.28,6.46,2.45,12.9
"3281","Swain","SUPPORT","Good",51.12,-0.09,50.76,39.71,4.16,6.46,2.36,12.9
"3282","Swain","TOP","Fair",46.84,-3.96,51.19,20.23,1.89,6.46,2.14,12.9
"3283","Sylas","MID","Strong",63.44,1.21,50,82.52,7.63,4.43,2.12,12.9
"3284","Sylas","TOP","Bad",33.4,0.49,48.93,11.71,1.05,4.42,1.82,12.9
"3285","Syndra","MID","Fair",42.78,0.88,48.08,85.43,2.68,0.89,2.11,12.9
"3286","Tahm Kench","ADC","Good",51.4,2.15,57.71,20.88,0.67,1.97,2.98,12.9
"3287","Tahm Kench","TOP","Fair",47.27,7.1,50.6,48.83,1.93,1.97,2.42,12.9
"3288","Tahm Kench","SUPPORT","Bad",32.79,1.29,46.63,27.97,1.03,1.97,2.35,12.9
"3289","Taliyah","MID","Strong",71.94,33.01,53.42,48.41,7.17,12.54,2.21,12.9
"3290","Taliyah","JUNGLE","Good",54.83,36.02,49.48,37.58,5.34,12.54,2.42,12.9
"3291","Talon","JUNGLE","Good",50.76,-1.37,50.12,54.72,4.68,5.79,2.46,12.9
"3292","Talon","MID","Good",50.28,4.43,50.35,43,3.52,5.79,2.11,12.9
"3293","Taric","SUPPORT","Fair",43.87,4.33,51.45,87.48,1.03,0.13,2.8,12.9
"3294","Teemo","TOP","Strong",62.4,-0.93,51.08,76.86,4.66,7.88,1.71,12.9
"3295","Thresh","SUPPORT","Strong",60.31,7.92,48.64,97.9,8.27,2.34,2.61,12.9
"3296","Tristana","ADC","Good",53.67,-2.45,51.81,85.69,7.97,3.96,2.27,12.9
"3297","Tristana","MID","Fair",41.31,-2.87,50.63,11.91,0.89,3.96,2.05,12.9
"3298","Trundle","JUNGLE","Fair",43.19,-2.67,51.41,64.82,2.29,1.99,2.59,12.9
"3299","Trundle","TOP","Weak",36.71,2.76,51.05,29.85,1.04,2.13,1.61,12.9
"3300","Tryndamere","TOP","Good",49.97,-2.46,49.25,83.29,3.45,10.1,1.74,12.9
"3301","Twisted Fate","MID","Fair",41.12,1.45,47,90.59,2.86,0.2,2.08,12.9
"3302","Twitch","ADC","Good",51.34,1.17,52.62,78.04,6.1,4.79,2.39,12.9
"3303","Udyr","JUNGLE","Weak",37.42,2.66,50.5,91.62,1.58,0.51,2.54,12.9
"3304","Urgot","TOP","Good",52.93,2.32,51.79,92.47,3.07,1.77,1.88,12.9
"3305","Varus","ADC","Bad",29.5,-1.11,46.14,89.53,3.27,0.28,2.2,12.9
"3306","Vayne","ADC","Good",54.81,-7.77,50.19,81.23,9.1,14.31,2.07,12.9
"3307","Vayne","TOP","Weak",39.07,-0.63,49.8,16.44,1.76,14.31,1.53,12.9
"3308","Veigar","MID","Strong",62.18,-4.18,51.13,72.32,6.25,7.64,2.23,12.9
"3309","Veigar","ADC","Fair",41,0.22,53.24,17.34,1.57,7.64,2.38,12.9
"3310","Vel'Koz","SUPPORT","Fair",42.11,0.75,50.88,58.21,1.72,0.45,2.15,12.9
"3311","Vel'Koz","MID","Fair",41.26,-4.81,49.11,36.89,1.14,0.48,2.43,12.9
"3312","Vex","MID","Strong",59.22,-0.26,50.57,91.82,5.46,9.25,2.33,12.9
"3313","Vi","JUNGLE","Fair",46.53,-5.23,50.22,92.7,4.18,1.75,2.27,12.9
"3314","Viego","JUNGLE","God",91.79,2.09,49.37,93.44,13.57,10.17,2.36,12.9
"3315","Viktor","MID","Good",54.31,-2.13,49.93,91.21,5,2.67,2.16,12.9
"3316","Vladimir","MID","Good",55.05,-1.38,50.15,68.81,4.65,7.55,2.28,12.9
"3317","Vladimir","TOP","Weak",38.02,-0.3,48.49,29.38,1.75,7.55,1.93,12.9
"3318","Volibear","JUNGLE","Strong",62.68,-5.7,52.46,59.17,5.65,6.09,2.76,12.9
"3319","Volibear","TOP","Good",50.81,-2.8,49.39,38.54,3.76,6.09,1.66,12.9
"3320","Warwick","JUNGLE","Good",51.57,-2.07,51.65,74.2,4.45,4.42,2.17,12.9
"3321","Warwick","TOP","Weak",38.58,3.87,51.21,23.65,1.01,4.42,1.8,12.9
"3322","Wukong","JUNGLE","Strong",67.41,-0.98,53.07,61.01,6.15,7.75,2.8,12.9
"3323","Wukong","TOP","Good",56.43,0.23,51.12,33,3.44,7.75,2.06,12.9
"3324","Xayah","ADC","Weak",38.66,-6.38,48.39,97.65,5.06,1.95,2.2,12.9
"3325","Xerath","MID","Good",55.61,2.66,51.94,40.96,2.96,4.22,2.98,12.9
"3326","Xerath","SUPPORT","Good",54,1.69,52.25,53.88,3.99,4.22,2.57,12.9
"3327","Xin Zhao","JUNGLE","Weak",37.21,3.7,49.63,87.39,2.45,1.04,2.23,12.9
